,run,epoch,train loss,validation loss,epoch duration,run duration,init_lr,batch_size,weight_decay
0,1,1,0.19562697953780492,0.22012003511190414,261.4083330631256,262.18426299095154,0.05,256,0.001
1,1,2,0.09307500418159696,0.09121302101347181,269.5290377140045,532.3166265487671,0.05,256,0.001
2,1,3,0.08033012578090032,0.07950876860155,265.36926198005676,798.3055045604706,0.05,256,0.001
3,1,4,0.07215449452665117,0.07132448794113265,267.3622043132782,1066.2726602554321,0.05,256,0.001
4,1,5,0.0663658075624042,0.06541168669031726,270.9406852722168,1337.8171446323395,0.05,256,0.001
5,1,6,0.06229048437343703,0.06214574393298891,265.0855839252472,1603.531280040741,0.05,256,0.001
6,1,7,0.05955414524012142,0.05889619804090924,266.77770829200745,1870.9363143444061,0.05,256,0.001
7,1,8,0.056731551769044666,0.05674091623061233,263.61082315444946,2135.1570270061493,0.05,256,0.001
8,1,9,0.049673090978463494,0.04962860606610775,263.67898440361023,2399.4789340496063,0.05,256,0.001
9,1,10,0.04441224671536022,0.04399623390701082,264.9153845310211,2665.0225331783295,0.05,256,0.001
10,1,11,0.04216252014040947,0.04188322607013914,266.4484944343567,2932.1031374931335,0.05,256,0.001
11,1,12,0.04001397765212589,0.03955215298467212,264.9962430000305,3197.7554109096527,0.05,256,0.001
12,1,13,0.03874291283422046,0.03807792357272572,264.57676553726196,3462.960345029831,0.05,256,0.001
13,1,14,0.03768193339308103,0.03714506121145354,266.17802262306213,3729.7651114463806,0.05,256,0.001
14,1,15,0.037229233233796226,0.036670624588926636,267.2002122402191,3997.606347322464,0.05,256,0.001
15,1,16,0.03618264085650444,0.03627921702961127,271.379191160202,4269.623402357101,0.05,256,0.001
16,1,17,0.03588923764295048,0.0360656241989798,260.1287763118744,4530.360444545746,0.05,256,0.001
17,1,18,0.03526793207658662,0.03530467301607132,252.9463291168213,4783.942083120346,0.05,256,0.001
18,1,19,0.0343578389969137,0.03399779751069016,253.86208152770996,5038.428763389587,0.05,256,0.001
19,1,20,0.03274057367841403,0.03230221217705144,256.2816150188446,5295.332608222961,0.05,256,0.001
20,1,21,0.030820887048376933,0.03069485082394547,255.2626497745514,5551.224877357483,0.05,256,0.001
21,1,22,0.029123571278651554,0.028944180347025394,256.29724740982056,5808.199377775192,0.05,256,0.001
22,1,23,0.027782480315698518,0.02770828165941768,256.060063123703,6064.880157709122,0.05,256,0.001
23,1,24,0.026396738286150825,0.026521961204707623,253.45147037506104,6318.973896741867,0.05,256,0.001
24,1,25,0.025225770898660023,0.0251910663727257,253.42400217056274,6573.02107834816,0.05,256,0.001
25,1,26,0.024699151502715216,0.02435614468736781,254.25354766845703,6827.906038284302,0.05,256,0.001
26,1,27,0.023638141149613594,0.023293200983769365,252.3592987060547,7080.917820453644,0.05,256,0.001
27,1,28,0.022870929882261488,0.022897775802347396,253.7771909236908,7335.323740243912,0.05,256,0.001
28,1,29,0.02258039244380262,0.02290194585091538,255.48622608184814,7591.442346811295,0.05,256,0.001
29,1,30,0.022500172756446734,0.021884114688469306,251.89881801605225,7843.93572473526,0.05,256,0.001
30,1,31,0.02108692980673578,0.02061057577116622,251.51805639266968,8096.081737756729,0.05,256,0.001
31,1,32,0.02045725436674224,0.020354567819999322,251.72468614578247,8348.44071483612,0.05,256,0.001
32,1,33,0.020209743750095367,0.019669344855679408,253.92727041244507,8602.981298446655,0.05,256,0.001
33,1,34,0.019871198875043128,0.019789781628383532,251.38677263259888,8854.986337661743,0.05,256,0.001
34,1,35,0.01957054038213359,0.019297067696849506,252.52179384231567,9108.10932803154,0.05,256,0.001
35,1,36,0.02036249034669664,0.020286974393659167,252.29871559143066,9361.035030126572,0.05,256,0.001
36,1,37,0.018878746510214275,0.018884857702586386,252.27520179748535,9613.922651529312,0.05,256,0.001
37,1,38,0.01839083737300502,0.017749739707344107,248.70808100700378,9863.268177747726,0.05,256,0.001
38,1,39,0.018199512524406117,0.01792647751669089,249.98614048957825,10113.894734859467,0.05,256,0.001
39,1,40,0.017816726570328078,0.017428335630231433,250.29485368728638,10364.812433958054,0.05,256,0.001
40,1,41,0.017473536421524154,0.017174316052761342,250.65171670913696,10616.091926813126,0.05,256,0.001
41,1,42,0.017372178561819926,0.017863074834975932,250.46592617034912,10867.18150639534,0.05,256,0.001
42,1,43,0.016806935640838412,0.016659632946054142,249.5696918964386,11117.360389947891,0.05,256,0.001
43,1,44,0.01648644202583366,0.01654186239466071,250.7380485534668,11368.729880809784,0.05,256,0.001
44,1,45,0.016646567116512193,0.01678442732534475,250.01378846168518,11619.380752325058,0.05,256,0.001
45,1,46,0.016515373986297183,0.01624416559934616,250.4204330444336,11870.426862955093,0.05,256,0.001
46,1,47,0.016351665746172268,0.01640395520048009,250.55737042427063,12121.615833044052,0.05,256,0.001
47,1,48,0.016802898361616664,0.016602020245045424,250.20557165145874,12372.436217784882,0.05,256,0.001
48,1,49,0.01662541147271792,0.0163646988156769,250.50579810142517,12623.554788351059,0.05,256,0.001
49,1,50,0.01697187365028593,0.016783467183510464,251.9391565322876,12876.112993240356,0.05,256,0.001
50,1,51,0.0161800384240018,0.015826099138293002,252.95946669578552,13129.674509525299,0.05,256,0.001
51,1,52,0.016409872168302538,0.016858704802062776,253.73986840248108,13384.040542125702,0.05,256,0.001
52,1,53,0.01584162078267998,0.015515553971959485,253.9726574420929,13638.614359855652,0.05,256,0.001
53,1,54,0.015460777472787433,0.015215757199459605,253.1432831287384,13892.39525270462,0.05,256,0.001
54,1,55,0.015766632715861,0.015642158842335146,255.23248028755188,14148.25583600998,0.05,256,0.001
